20160804_192202	versionC=2016-06-30
20160804_192203	download now...http://api.skyeducation.cn/EduApi/download/update.ini
20160804_192203	versionS=2016-06-30, zipfile=update-20160630.zip
20160804_192203	Exit!
20160822_141232	download now...http://web.skyeducation.cn/UploadFiles/Other/201682271273077.exe
20160822_141249	download over...D:\如e小助手_Release\201682271273077.exe
20160822_141249	kill process of ruehelper.exe now...
20160822_141250	unzip now...
20160822_141250	update error, exit!!! Wrong Local header signature: 0x905A4D
20160822_144411	download now...http://web.skyeducation.cn/UploadFiles/Other/201682277203613.zip
20160822_144418	download over...D:\如e小助手_Release\201682277203613.zip
20160822_144418	kill process of ruehelper.exe now...
20160822_144419	unzip now...
20160822_144419	set update.version=1.0.16.0822
20160822_144419	restart RueHelper.exe now...
20160822_144419	Process.Start(D:\如e小助手_Release\如e小助手.exe) now...
20170523_192844	download now...http://web.skyeducation.cn/UploadFiles/Other/201752326856116.zip
20170523_192903	download over...D:\如e小助手_Release\201752326856116.zip
20170523_192903	kill process of ruehelper.exe now...
20170523_192904	unzip now...
20170523_192905	set update.version=2.1.0.0523
20170523_192905	restart RueHelper.exe now...
20170523_192905	Process.Start(D:\如e小助手_Release\如e小助手.exe) now...
20170524_101922	download now...http://web.skyeducation.cn/UploadFiles/Other/201752326856116.zip
20170524_102036	download over...D:\如e小助手_Release\201752326856116.zip
20170524_102036	kill process of ruehelper.exe now...
20170524_102037	unzip now...
20170524_102038	set update.version=2.1.0.0523
20170524_102038	restart RueHelper.exe now...
20170524_102038	Process.Start(D:\如e小助手_Release\如e小助手.exe) now...
20170524_104244	download now...http://web.skyeducation.cn/UploadFiles/Other/201752326856116.zip
20170524_104414	download over...D:\如e小助手_Release\201752326856116.zip
20170524_104414	kill process of ruehelper.exe now...
20170524_104416	unzip now...
20170524_104416	set update.version=2.1.0.0523
20170524_104416	restart RueHelper.exe now...
20170524_104416	Process.Start(D:\如e小助手_Release\如e小助手.exe) now...
